method,target_depth_ppm,sum,count,rate,ci_lo,ci_hi
GP,100,0,10,0.0,0.0,0.2775401687666166
GP,200,1,10,0.1,0.01787574951572113,0.4041563854975721
GP,400,4,10,0.4,0.16817758120350967,0.6873304525498135
GP,700,4,10,0.4,0.16817758120350967,0.6873304525498135
GP,1200,4,10,0.4,0.16817758120350967,0.6873304525498135
GP,2000,4,10,0.4,0.16817758120350967,0.6873304525498135
wotan,100,0,10,0.0,0.0,0.2775401687666166
wotan,200,0,10,0.0,0.0,0.2775401687666166
wotan,400,5,10,0.5,0.23658959361548731,0.7634104063845126
wotan,700,10,10,1.0,0.7224598312333834,1.0
wotan,1200,10,10,1.0,0.7224598312333834,1.0
wotan,2000,10,10,1.0,0.7224598312333834,1.0
